question_name,question_name_short,question_num,col_name_original,response_name,response_name_short,col_name_final
Response ID,Response ID,0,Response ID,NA,NA,response_id
Time Started,Time Started,0,Time Started,NA,NA,time_started
Date Submitted,Date Submitted,0,Date Submitted,NA,NA,date_submitted
Status,Status,0,Status,NA,NA,status
Contact ID,Contact ID,0,Contact ID,NA,NA,contact_id
Legacy Comments,Legacy Comments,0,Legacy Comments,NA,NA,legacy_comments
Comments,Comments,0,Comments,NA,NA,comments
Language,Language,0,Language,NA,NA,language
Referer,Referer,0,Referer,NA,NA,referer
SessionID,SessionID,0,SessionID,NA,NA,session_id
User Agent,User Agent,0,User Agent,NA,NA,user_agent
Tags,Tags,0,Tags,NA,NA,tags
IP Address,IP Address,0,IP Address,NA,NA,ip_address
Longitude,Longitude,0,Longitude,NA,NA,longitude
Latitude,Latitude,0,Latitude,NA,NA,latitude
Country,Country,0,Country,NA,NA,country
City,City,0,City,NA,NA,city
State/Region,State/Region,0,State/Region,NA,NA,state_region
Postal,Postal,0,Postal,NA,NA,postal
"Do you currently work at an organization that either works in progressive politics or has some clients who work in progressive politics or do you currently work for a government body? Or, if you freelance, do you have some clients that work in progressive politics?",work in politics,1,"Do you currently work at an organization that either works in progressive politics or has some clients who work in progressive politics or do you currently work for a government body? Or, if you freelance, do you have some clients that work in progressive politics?",NA,NA,work_in_politics
What is your current employment status (as of January 2021)?,employment status jan21,2,Full-time at one or more jobs:What is your current employment status (as of January 2021)?,Full-time at one or more jobs,full time,employment_status_jan_21.resp.full_time
What is your current employment status (as of January 2021)?,employment status jan21,2,Part-time at one or more jobs:What is your current employment status (as of January 2021)?,Part-time at one or more jobs,part time,employment_status_jan_21.resp.part_time
What is your current employment status (as of January 2021)?,employment status jan21,2,Freelance / contracting / self-employed:What is your current employment status (as of January 2021)?,Freelance / contracting / self-employed,freelance,employment_status_jan_21.resp.freelance
What is your current employment status (as of January 2021)?,employment status jan21,2,In school:What is your current employment status (as of January 2021)?,In school,school,employment_status_jan_21.resp.school
What is your current employment status (as of January 2021)?,employment status jan21,2,Unemployed:What is your current employment status (as of January 2021)?,Unemployed,unemployed,employment_status_jan_21.resp.unemployed
What is your current employment status (as of January 2021)?,employment status jan21,2,Other:What is your current employment status (as of January 2021)?,Other,other,employment_status_jan_21.resp.other
What was your employment status during the 2020 election cycle?,employment status cycle20,3,Full-time at one or more jobs:What was your employment status during the 2020 election cycle?,Full-time at one or more jobs,full time,employment_status_cycle_20.resp.full_time
What was your employment status during the 2020 election cycle?,employment status cycle20,3,Part-time at one or more jobs:What was your employment status during the 2020 election cycle?,Part-time at one or more jobs,part time,employment_status_cycle_20.resp.part_time
What was your employment status during the 2020 election cycle?,employment status cycle20,3,Freelance / contracting / self-employed:What was your employment status during the 2020 election cycle?,Freelance / contracting / self-employed,freelance,employment_status_cycle_20.resp.freelance
What was your employment status during the 2020 election cycle?,employment status cycle20,3,In school:What was your employment status during the 2020 election cycle?,In school,school,employment_status_cycle_20.resp.school
