compensation_bin,compensation_bin_numeric
"$70,000 to $74,999",12
NA,NA
"$85,000 to $89,999",15
"$80,000 to $84,999",14
"$40,000 to $44,999",6
"$75,000 to $79,999",13
"$100,000 to $104,999",18
"$65,000 to $69,999",11
"$150,000 to $154,999",28
"$60,000 to $64,999",10
"$50,000 to $54,999",8
"$200,000+",38
"$175,000 to $179,999",33
"$120,000 to $124,999",22
"$110,000 to $114,999",20
"$165,000 to $169,999",31
"$125,000 to $129,999",23
"$90,000 to $94,999",16
"$140,000 to $144,999",26
"$115,000 to $119,999",21
"$105,000 to $109,999",19
"$130,000 to $134,999",24
"$45,000 to $49,999",7
"$55,000 to $59,999",9
"$145,000 to $149,999",27
"$160,000 to $164,999",30
"$95,000 to $99,999",17
"Under $20,000",1
"$135,000 to $139,999",25
"$30,000 to $34,999",4
"$180,000 to $184,999",34
"$185,000 to $189,999",35
"$190,000 to $194,999",36
"$170,000 to $174,999",32
"$155,000 to $159,999",29
"$35,000 to $39,999",5
"$20,000 to $24,999",2
"$25,000 to $29,999",3
